time,pnl
2025-05-21 13:00:00,-45.717114307778616
2025-05-21 13:05:00,-45.843872931778606
2025-05-21 13:10:00,-44.99608578977862
2025-05-21 13:15:00,-44.025182265778625
2025-05-21 13:20:00,-43.36045276077863
2025-05-21 13:25:00,-43.22024244577861
2025-05-21 13:30:00,-42.28687163577861
2025-05-21 13:35:00,-42.95134200177864
2025-05-21 13:40:00,-48.06130275877862
2025-05-21 13:45:00,-50.295636933778624
2025-05-21 13:50:00,-53.60113069177861
2025-05-21 13:55:00,-52.36155446977864
2025-05-21 14:00:00,-53.62867173677864
2025-05-21 14:05:00,-53.99888509077866
2025-05-21 14:10:00,-53.45887223877861
2025-05-21 14:15:00,-59.78454627377863
2025-05-21 14:20:00,-58.353813284778624
2025-05-21 14:25:00,-51.535724450778645
2025-05-21 14:30:00,-44.85284226477863
2025-05-21 14:35:00,-52.22560726377861
2025-05-21 14:40:00,-60.31559452477863
2025-05-21 14:45:00,-69.82406309177861
2025-05-21 14:50:00,-90.30362769377862
2025-05-21 14:55:00,-123.0951792117786
2025-05-21 15:00:00,-127.16047861577864
2025-05-21 15:05:00,-143.5517677547786
2025-05-21 15:10:00,-123.03827376077864
2025-05-21 15:15:00,-134.3473916767786
2025-05-21 15:20:00,-143.64119939677863
2025-05-21 15:25:00,-126.17070908277864
2025-05-21 15:30:00,-118.07762512777865
2025-05-21 15:35:00,-100.5259316547786
2025-05-21 15:40:00,-119.10565689677863
2025-05-21 15:45:00,-106.64032845977866
2025-05-21 15:50:00,-129.86467070477863
2025-05-21 15:55:00,-122.32199955477861
2025-05-21 16:00:00,-116.96723079577865
2025-05-21 16:05:00,-116.78569691277863
2025-05-21 16:10:00,-123.44461346777865
2025-05-21 16:15:00,-121.41910937077864
2025-05-21 16:20:00,-121.80223770177861
2025-05-21 16:25:00,-124.56636765277861
2025-05-21 16:30:00,-151.50243135577864
2025-05-21 16:35:00,-148.56258302077862
2025-05-21 16:40:00,-150.95674482077862
2025-05-21 16:45:00,-161.5843222817786
2025-05-21 16:50:00,-152.82632960777863
2025-05-21 16:55:00,-129.56714823077866
2025-05-21 17:00:00,-131.03526283177862
2025-05-21 17:05:00,-118.74149500877866
2025-05-21 17:10:00,-121.44894817977861
2025-05-21 17:15:00,-96.02480085377863
2025-05-21 17:20:00,-75.65134088377862
2025-05-21 17:25:00,-57.26586967177862
2025-05-21 17:30:00,-71.97838553877864
2025-05-21 17:35:00,-72.03080443877863
2025-05-21 17:40:00,-62.00469048577864
2025-05-21 17:45:00,-64.18562884077863
2025-05-21 17:50:00,-64.11741912677863
2025-05-21 17:55:00,-66.69060013177864
2025-05-21 18:00:00,-64.66979618077863
2025-05-21 18:05:00,-66.66488394077861
2025-05-21 18:10:00,-61.07879776777864
2025-05-21 18:15:00,-56.24914823577865
2025-05-21 18:20:00,-51.26267788677862
2025-05-21 18:25:00,-50.25003782377863
2025-05-21 18:30:00,-50.71247846477864
2025-05-21 18:35:00,-49.76839787677862
2025-05-21 18:40:00,-54.046473799778624
2025-05-21 18:45:00,-48.84488619077865
2025-05-21 18:50:00,-44.78336644677863
2025-05-21 18:55:00,-41.851211742778645
2025-05-21 19:00:00,-43.4456636627786
2025-05-21 19:05:00,-36.51580783377864
2025-05-21 19:10:00,-39.194520267778614
2025-05-21 19:15:00,-37.32520357577863
2025-05-21 19:20:00,-38.37925427677864
2025-05-21 19:25:00,-40.8502378127786
2025-05-21 19:30:00,-48.151438042778636
2025-05-21 19:35:00,-74.55818354877866
2025-05-21 19:40:00,-67.52503031177861
2025-05-21 19:45:00,-74.1368461447786
2025-05-21 19:50:00,-76.76668083177861
2025-05-21 19:55:00,-90.0326398257786
2025-05-21 20:00:00,-86.18789051277867
2025-05-21 20:05:00,-78.75586369677865
2025-05-21 20:10:00,-71.96883246477859
2025-05-21 20:15:00,-75.9791459317786
2025-05-21 20:20:00,-72.52227821877865
2025-05-21 20:25:00,-67.23776234477859
2025-05-21 20:30:00,-64.60042404277863
2025-05-21 20:35:00,-57.81139350277863
2025-05-21 20:40:00,-54.52924453277862
2025-05-21 20:45:00,-54.02437127077863
2025-05-21 20:50:00,-53.684110531778614
2025-05-21 20:55:00,-60.85929799677861
2025-05-21 21:00:00,-54.40627655077864
2025-05-21 21:05:00,-67.74806982077861
2025-05-21 21:10:00,-64.01800820877861
2025-05-21 21:15:00,-58.40023006277866
2025-05-21 21:20:00,-55.659308137778595
2025-05-21 21:25:00,-49.85869001377864
2025-05-21 21:30:00,-50.182505635778654
2025-05-21 21:35:00,-57.236695398778636
2025-05-21 21:40:00,-63.33752632577861
2025-05-21 21:45:00,-69.66506717177862
2025-05-21 21:50:00,-62.06802160177861
2025-05-21 21:55:00,-64.86451887977864
2025-05-21 22:00:00,-68.77755147177862
2025-05-21 22:05:00,-59.97751748477859
2025-05-21 22:10:00,-58.612380959778605
2025-05-21 22:15:00,-58.68040204577866
2025-05-21 22:20:00,-66.75851719077866
2025-05-21 22:25:00,-72.24978800777865
2025-05-21 22:30:00,-88.74569852477866
2025-05-21 22:35:00,-87.30607535177862
2025-05-21 22:40:00,-92.96453667277862
2025-05-21 22:45:00,-89.82129561077863
