symbol,side,quantity,price
MARK:P-BTC-104500-020625,SELL,0.1,1029.6830964024991
MARK:C-BTC-105500-030625,SELL,0.1,0.0
MARK:P-BTC-105500-030625,SELL,0.1,0.0
MARK:C-BTC-106500-030625,BUY,0.1,0.0
MARK:P-BTC-104500-030625,BUY,0.1,0.0
MARK:C-BTC-105500-030625,BUY,0.1,3506.154901812138
MARK:P-BTC-105500-030625,BUY,0.1,3506.154901812138
MARK:C-BTC-106500-030625,SELL,0.1,3505.453740947862
MARK:P-BTC-104500-030625,SELL,0.1,3505.453740947862
MARK:C-BTC-105500-040625,SELL,0.1,0.0
MARK:P-BTC-105500-040625,SELL,0.1,0.0
MARK:C-BTC-106500-040625,BUY,0.1,0.0
MARK:P-BTC-104500-040625,BUY,0.1,0.0
MARK:C-BTC-105500-040625,BUY,0.1,10.347888035335
MARK:P-BTC-105500-040625,BUY,0.1,10.347888035335
MARK:C-BTC-106500-040625,SELL,0.1,10.345818664665
MARK:P-BTC-104500-040625,SELL,0.1,10.345818664665
MARK:C-BTC-104500-050625,SELL,0.1,318.710056356945
MARK:P-BTC-104500-050625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105500-050625,BUY,0.1,0.10001
MARK:P-BTC-103500-050625,BUY,0.1,0.10001
MARK:C-BTC-104500-050625,BUY,0.1,318.773804743055
MARK:P-BTC-104500-050625,BUY,0.1,0.10001
MARK:C-BTC-105500-050625,SELL,0.1,0.09999000000000001
MARK:P-BTC-103500-050625,SELL,0.1,0.09999000000000001
MARK:C-BTC-103000-060625,SELL,0.1,847.4806438499611
MARK:P-BTC-103000-060625,SELL,0.1,0.09999000000000001
MARK:C-BTC-104000-060625,BUY,0.1,0.10001
MARK:P-BTC-102000-060625,BUY,0.1,0.10001
MARK:C-BTC-103000-060625,BUY,0.1,847.650156930039
MARK:P-BTC-103000-060625,BUY,0.1,0.10001
MARK:C-BTC-104000-060625,SELL,0.1,0.09999000000000001
MARK:P-BTC-102000-060625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105000-070625,SELL,0.1,158.55663125114998
MARK:P-BTC-105000-070625,SELL,0.1,0.09999000000000001
MARK:C-BTC-106000-070625,BUY,0.1,0.10001
MARK:P-BTC-104000-070625,BUY,0.1,0.10001
MARK:C-BTC-105000-070625,BUY,0.1,1383.4362337803989
MARK:P-BTC-105000-070625,BUY,0.1,1383.4362337803989
MARK:C-BTC-106000-070625,SELL,0.1,1383.159574199601
MARK:P-BTC-104000-070625,SELL,0.1,1383.159574199601
MARK:C-BTC-105500-080625,SELL,0.1,132.238469270556
MARK:P-BTC-105500-080625,SELL,0.1,0.09999000000000001
MARK:C-BTC-106500-080625,BUY,0.1,0.10001
MARK:P-BTC-104500-080625,BUY,0.1,0.10001
MARK:C-BTC-105500-080625,BUY,0.1,25.586401724334
MARK:P-BTC-105500-080625,BUY,0.1,25.586401724334
MARK:C-BTC-106500-080625,SELL,0.1,25.581284955666003
MARK:P-BTC-104500-080625,SELL,0.1,25.581284955666003
MARK:C-BTC-106000-090625,SELL,0.1,1610.810952605019
MARK:P-BTC-106000-090625,SELL,0.1,0.09999000000000001
MARK:C-BTC-108000-090625,BUY,0.1,0.10001
MARK:P-BTC-104000-090625,BUY,0.1,0.10001
MARK:C-BTC-106000-090625,BUY,0.1,1611.133147014981
MARK:P-BTC-106000-090625,BUY,0.1,0.10001
MARK:C-BTC-108000-090625,SELL,0.1,0.09999000000000001
MARK:P-BTC-104000-090625,SELL,0.1,0.09999000000000001
MARK:C-BTC-109500-100625,SELL,0.1,0.0
MARK:P-BTC-109500-100625,SELL,0.1,0.0
MARK:C-BTC-110500-100625,BUY,0.1,0.0
MARK:P-BTC-108500-100625,BUY,0.1,0.0
MARK:C-BTC-109500-100625,BUY,0.1,1178.5108749935691
MARK:P-BTC-109500-100625,BUY,0.1,1178.5108749935691
MARK:C-BTC-110500-100625,SELL,0.1,1178.275196386431
